,0
0,7.911207730152837
1,7.916560256287098
2,7.905702109738978
3,8.07518374177021
4,8.11778291716638
5,8.002706041085938
6,7.898108194632404
7,7.890204359705797
8,7.862051235719564
9,7.868916456754646
10,7.8819655208083175
11,7.8861284995534415
12,7.877711797426098
13,7.6529810406984495
14,7.926837147284756
15,7.913008511639144
16,7.973858524823759
17,7.8861284995534415
18,7.9815012615098855
19,7.8861284995534415
20,7.925162187722058
21,7.907554842660775
22,7.916560256287098
23,7.514645178754995
24,7.877711797426098
25,7.8643663717778285
26,7.976402931733669
27,7.913008511639144
28,7.923472428010601
29,8.13940835188591
30,7.873363476046278
31,7.8500495116306634
32,7.823621301593592
33,7.871152570082376
34,7.905702109738978
35,7.845037243086422
36,7.8549380498557255
37,7.923472428010601
38,7.963156370319312
39,7.913008511639144
40,8.012459615351279
41,7.991226475376359
42,7.705403372452858
43,7.923472428010601
44,7.870395147236944
45,7.890204359705797
46,7.884058121517407
47,7.881881348090412
48,7.898108194632404
49,7.916560256287098
50,7.868916456754646
51,7.898108194632404
52,7.877711797426098
53,8.020714286657498
54,8.088120302807186
55,7.954709304330165
56,7.98642753062909
57,7.680639662565072
58,7.907554842660775
59,8.021940996914747
60,7.951807297888377
61,7.9365894455971
62,7.890204359705797
63,7.73505502107397
64,7.732423662275491
65,7.857337717863293
66,7.960382610879847
67,7.890204359705797
68,7.998199471331092
69,7.87554971171297
70,7.971239790954901
71,8.132024906348844
72,8.000466522118277
73,7.939732278824861
74,7.829194513743722
75,7.852508881215453
76,8.06600404157654
77,7.816429589744363
78,8.01140111594269
79,7.948859993049245
80,7.933522667589962
81,8.07217613557921
82,8.01140111594269
83,7.951807297888377
84,7.892210695609275
85,7.991226475376359
86,7.914792589225784
87,7.757348542954989
88,7.837062090933575
89,7.8861284995534415
90,7.926837147284756
91,7.954709304330165
92,8.085326141777111
93,7.923472428010601
94,7.942823947979179
95,7.954709304330165
96,7.928497552258321
97,7.8666545815552045
98,7.920047494867711
99,7.978988334381078
100,7.942823947979179
101,7.862051235719564
102,7.907886452734904
103,7.920047494867711
104,7.547965577660906
105,8.040755577837308
106,7.975154256688017
107,7.976441058080878
108,7.87554971171297
109,7.877711797426098
110,7.983980713165016
111,7.868916456754646
112,7.871152570082376
113,7.913008511639144
114,7.916560256287098
115,7.8643663717778285
116,7.920047494867711
117,7.961774608342777
118,7.877711797426098
119,7.8666545815552045
120,7.799641113961554
121,7.916560256287098
122,7.602667075899474
123,7.9802490362069785
124,7.859708561838288
125,8.083434553510443
126,7.901942433602905
127,7.923472428010601
128,7.852508881215453
129,7.950339391953701
130,7.942823947979179
131,7.931775651029033
132,7.945866020268177
133,7.948859993049245
134,7.963156370319312
135,7.8861284995534415
136,8.037104958113014
137,7.888177101217972
138,8.018685284852392
139,7.905702109738978
140,7.90003481042221
141,7.933393806861369
142,7.930143642234812
143,8.267867473228156
144,7.852508881215453
145,7.877711797426098
146,7.916560256287098
147,7.901942433602905
148,7.845037243086422
149,7.8500495116306634
150,8.056326489329226
151,8.049571775483667
152,7.879850237488201
153,8.026454376283711
154,7.87554971171297
155,7.890204359705797
156,8.136282715416264
157,7.547965577660906
158,7.983980713165016
159,7.898108194632404
160,7.921767616425006
161,7.840437650358861
162,7.898108194632404
163,7.877711797426098
164,7.933393806861369
165,7.954709304330165
166,7.939732278824861
167,8.137330918888905
168,7.953263880137562
169,7.905702109738978
170,7.831923946953394
171,8.033379229034232
172,7.898108194632404
173,7.907554842660775
174,8.081050298330531
175,7.871152570082376
176,7.968583875051436
177,7.923370566318787
178,7.923472428010601
179,7.990989455516836
180,7.8059087122046655
181,7.751392525157837
182,8.00491865967927
183,7.810183174586104
184,8.00491865967927
185,7.920737397476941
186,8.051964916620397
187,7.905702109738978
188,7.942823947979179
189,7.963156370319312
190,7.509809703404423
191,7.52630378377388
192,7.8643663717778285
193,7.877711797426098
194,7.91970161018581
195,7.8926094882333535
196,7.963156370319312
197,8.000466522118277
198,7.928497552258321
199,7.89419651739873
200,7.916560256287098
201,7.930143642234812
202,7.898108194632404
203,7.948859993049245
204,7.7724380723740625
205,7.877711797426098
206,7.922451363657183
207,7.898108194632404
208,7.960382610879847
209,7.874678144213477
210,8.088120302807186
211,7.991226475376359
212,7.907554842660775
213,7.89419651739873
214,7.895181859946171
215,7.896162221880292
216,7.923472428010601
217,7.960382610879847
218,7.845037243086422
219,7.877711797426098
220,7.829194513743722
221,8.128761112873708
222,7.8861284995534415
223,7.933393806861369
224,7.890204359705797
225,7.8861284995534415
226,7.87554971171297
227,7.89419651739873
228,7.8643663717778285
229,7.954709304330165
230,7.618262632294732
231,7.907554842660775
232,7.8643663717778285
233,7.921767616425006
234,7.935922798022933
235,7.924319173470873
236,7.91002520980225
237,8.073686298930024
238,8.041247477046122
239,7.8643663717778285
240,7.8549380498557255
241,7.909389943583366
242,7.862051235719564
243,7.995904235149979
244,7.886950528836873
245,7.862051235719564
